pick_tier,pick,player_name,School,G,GS,MP,FG,FGA,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_played,Class,years_on_contract,rookie_salary,total_rookie_earnings,career_nba_earnings,division_level
1st Round,22,Fab Melo,Syracuse,63,54,17.3,2.1,3.6,0.576,0,0,2.1,3.6,0.576,0.576,0.7,1.3,0.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,,2,Sophomore,2,1282980.00,2565960.00,2000000.00,NCAA_D1
1st Round,23,John Jenkins,Vanderbilt,98,74,30.6,5.3,11.2,0.468,3.1,7.1,0.438,2.1,4.1,0.521,0.607,3.3,3.8,0.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,3,Junior,4,1501076.25,6004305.00,10000000.00,NCAA_D1
1st Round,24,Jared Cunningham,Oregon State,98,83,27.9,3.9,8.5,0.455,0.9,2.5,0.344,3,6,0.501,0.505,4.4,5.8,0.754,0.9,2.1,3,2,2.2,0.2,2.6,2.5,13,3,Junior,4,1457362.25,5829449.00,6000000.00,NCAA_D1
1st Round,25,Tony Wroten,Washington,35,27,30.3,5.7,12.8,0.443,0.3,1.6,0.161,5.4,11.2,0.483,0.453,4.4,7.5,0.583,2.3,2.7,5,3.7,1.9,0.4,3.8,2.7,16,1,Freshman,4,1403334.75,5613339.00,6000000.00,NCAA_D1
1st Round,26,Miles Plumlee,Duke,135,58,15.8,1.9,3.5,0.557,0,0,1,1.9,3.5,0.557,0.559,0.9,1.5,0.625,1.8,3,4.8,0.3,0.5,0.6,1,2.3,4.8,4,Senior,4,1368493.50,5473974.00,45000000.00,NCAA_D1
1st Round,27,Arnett Moultrie,Mississippi State,100,97,30.2,4.4,8.6,0.511,0.3,1,0.289,4.1,7.7,0.539,0.527,2.3,3.4,0.676,3,5.4,8.4,1,1,0.9,2.1,2.4,11.4,3,Junior,4,1329338.25,5317353.00,6000000.00,NCAA_D1
1st Round,28,Perry Jones III,Baylor,63,62,32.2,5.5,10.5,0.522,0.2,0.7,0.279,5.3,9.8,0.539,0.531,2.6,3.8,0.678,2.7,4.7,7.4,1.2,0.7,0.7,2,2.3,13.7,2,Sophomore,2,1059240.00,2118480.00,6000000.00,NCAA_D1
1st Round,29,Marquis Teague,Kentucky,40,40,32.6,3.6,8.8,0.412,0.7,2,0.325,3,6.8,0.438,0.449,2.1,3,0.714,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10,1,Freshman,4,1268975.25,5075901.00,10000000.00,NCAA_D1
1st Round,30,Festus Ezeli,Vanderbilt,121,67,17.9,2.7,4.9,0.562,0,0,2.7,4.9,0.562,0.562,2.3,3.9,0.584,1.8,2.7,4.5,0.1,0.3,1.7,1.6,2.6,7.7,4,,Unknown,4,1302377.00,5209508.00,14000000.00,NCAA_D1
2nd Round,31,Jeffery Taylor,Vanderbilt,134,133,29.3,5,10.3,0.483,0.9,2.4,0.358,4.1,7.9,0.52,0.524,3.4,4.9,0.693,2.1,3.5,5.6,1.9,1.1,0.4,2.3,2.3,14.2,,Unknown,3,759705.00,2279115.00,12000000.00,NCAA_D1
