pick_tier,pick,player_name,School,G,GS,MP,FG,FGA,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_played,Class,years_on_contract,rookie_salary,total_rookie_earnings,career_nba_earnings,division_level
2nd Round,35,Max Christie,Michigan State,35,35,30.8,3.2,8.4,0.382,1.1,3.5,0.317,2.1,4.9,0.429,0.449,1.7,2.1,0.824,0.9,2.6,3.5,1.5,0.5,0.5,1.5,1.1,9.3,,Unknown,4,1563000.00,6252000.00,6252000.00,NCAA_D1
2nd Round,36,Gabriele Procida,Fortitudo Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,37,Jaden Hardy,NBA G League Ignite,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,1563000.00,6252000.00,6252000.00,G_LEAGUE
2nd Round,38,Kennedy Chandler,Tennessee,34,34,30.8,5.4,11.5,0.464,1.4,3.8,0.383,3.9,7.8,0.504,0.527,1.8,2.9,0.606,0.7,2.6,3.2,4.7,2.2,0.2,2.5,2,13.9,,Unknown,1,0.00,,,NCAA_D1
2nd Round,39,Khalifa Diop,Gran Canaria,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,40,Bryce McGowens,Nebraska,31,31,33.3,5.2,12.8,0.403,1.3,4.7,0.274,3.9,8.1,0.478,0.453,5.2,6.3,0.831,0.7,4.5,5.2,1.4,0.7,0.3,2.1,2,16.8,,Unknown,2,1017000.00,2034000.00,2034000.00,NCAA_D1
2nd Round,41,E.J. Liddell,Ohio State,92,61,26.4,4.7,9.8,0.48,0.8,2.5,0.341,3.8,7.3,0.528,0.523,3.9,5.2,0.749,1.7,4.4,6.1,1.6,0.5,1.6,1.7,2.4,14.1,,Unknown,2,1017000.00,2034000.00,2034000.00,NCAA_D1
2nd Round,42,Trevor Keels,Duke,36,26,30.2,4.1,9.8,0.419,1.5,4.8,0.312,2.6,4.9,0.522,0.496,1.8,2.7,0.67,0.8,2.6,3.4,2.7,1.2,0.1,1.3,1.3,11.5,,Unknown,,,,,NCAA_D1
2nd Round,43,Moussa Diabaté,Michigan,32,26,24.9,3.7,6.8,0.542,0.1,0.4,0.214,3.6,6.3,0.564,0.549,1.6,2.6,0.619,2.4,3.6,6,0.8,0.3,0.9,1.5,2.7,9,,Unknown,,,,,NCAA_D1
2nd Round,44,Ryan Rollins,Toledo,64,64,31.5,5.9,13,0.453,1.4,4.3,0.317,4.5,8.7,0.521,0.505,3.2,4.1,0.796,0.8,4.8,5.6,3.1,1.4,0.2,2.3,2.6,16.4,,Unknown,3,1563000.00,4689000.00,4689000.00,NCAA_D1
2nd Round,45,Josh Minott,Memphis,33,5,14.6,2.5,4.8,0.522,0.1,0.4,0.143,2.5,4.4,0.559,0.528,1.5,2,0.754,1.6,2.2,3.8,0.9,0.8,0.7,0.9,1.8,6.6,,Unknown,4,1564000.00,6256000.00,6256000.00,NCAA_D1
2nd Round,46,Ismael Kamagate,Paris Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,47,Vince Williams Jr.,VCU,110,54,23.4,2.7,6.2,0.44,1.1,3,0.367,1.6,3.2,0.507,0.528,2.1,2.7,0.773,1,3.4,4.4,1.9,1.2,0.5,1.9,2.3,8.6,,Unknown,,,,,NCAA_D1
2nd Round,48,Kendall Brown,Baylor,34,34,27,3.9,6.6,0.584,0.4,1.2,0.341,3.5,5.4,0.638,0.615,1.5,2.2,0.689,1.7,3.1,4.9,1.9,1,0.4,1.7,2.3,9.7,,Unknown,2,1017000.00,2034000.00,2034000.00,NCAA_D1
2nd Round,49,Isaiah Mobley,USC,95,72,27.5,3.7,8.1,0.46,0.7,2,0.36,3,6.1,0.492,0.504,2,3.3,0.596,2.1,4.9,7,2,0.6,0.8,1.5,2.2,10.1,,Unknown,,,,,NCAA_D1
2nd Round,50,Matteo Spagnolo,Vanoli Cremona,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,NCAA_D1
2nd Round,51,Tyrese Martin,UConn,114,99,30.8,4.2,9.6,0.435,1.2,3.4,0.346,3,6.1,0.486,0.498,1.6,2.4,0.67,2.3,4.5,6.7,1.3,0.9,0.4,1.7,2.1,11.1,,Unknown,,,,,International_Pro
2nd Round,52,Karlo Matković,Mega Mozzart (Serbia),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,NCAA_D1
2nd Round,53,JD Davison,Alabama,33,5,25.8,3,6.5,0.463,0.8,2.5,0.301,2.2,4,0.565,0.521,1.8,2.5,0.728,1.1,3.7,4.8,4.3,1,0.4,2.9,1.2,8.5,,Unknown,,,,,International_Pro
2nd Round,54,Yannick Nzosa,Unicaja Málaga,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,NCAA_D1
2nd Round,55,Gui Santos,Minas Tênis Clube,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,56,Luke Travers,Perth Wildcats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International_Pro
2nd Round,57,Jabari Walker,Colorado,59,33,22,3.9,8.1,0.479,1,2.5,0.399,2.9,5.6,0.515,0.541,2.7,3.5,0.783,1.7,5.4,7.2,0.9,0.6,0.6,1.8,2.3,11.5,,,4,1563000.00,6252000.00,6252000.00,International_Pro
2nd Round,58,Hugo Besson,New Zealand Breakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCAA_D1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International_Pro
